title,description
Qu'est-ce que le diabète ?,"Le diabète est une maladie chronique qui ne se guérit pas, mais que l’on peut traiter et contrôler. Il est causé par un manque ou un défaut d’utilisation d’une hormone appelée insuline.
L’insuline est produite par le pancréas. Elle permet au glucose (sucre) d’entrer dans les cellules du corps pour qu’il soit utilisé comme source d’énergie. Chez une personne non diabétique, l’insuline remplit bien son rôle et les cellules disposent de l’énergie dont elles ont besoin pour fonctionner.
Lorsqu’il manque d’insuline ou qu’elle ne peut pas bien accomplir sa fonction, comme c’est le cas dans le diabète, le glucose ne peut pas servir de carburant aux cellules. Il s’accumule alors dans le sang et entraîne une augmentation du taux de sucre (hyperglycémie).&nbsp;
"
Quelles sont les complications du diabète ?,"Les complications liées au diabète ont une origine commune : l’excédent de glucose dans le sang. Les complications du diabète peuvent modifier grandement la vie d’une personne diabétique. Un bon contrôle des glycémies permet de retarder et parfois même de limiter l’apparition des complications.
À la longue, un taux de sucre élevé dans le sang entraîne certaines complications, notamment au niveau des yeux, des reins, des nerfs, du cœur et des vaisseaux sanguins.&nbsp;
"
Quels sont les symptômes ?,"Les symptômes du diabète peuvent varier d’une personne à l’autre. Dans certains cas, le diabète peut même être présent sans que des symptômes ne soient perçus.
Les symptômes sont :
-fatigue, somnolence
-augmentation du volume et de la fréquence des urines
-soif intense
-faim exagérée
-perte de poids inexpliquée
-vision embrouillée
-cicatrisation lente
-infection des organes génitaux et de la vessie
-picotements aux doigts ou aux pieds
-irritabilité

"
Quels sont les principaux types de diabète ?,"<strong>Le diabète de type 1</strong>
Le diabète de type 1 se manifeste à l’enfance, à l’adolescence et chez les jeunes adultes. Environ 10&nbsp;% des cas de diabète sont de type 1. Il se caractérise par l’absence totale de la production d’insuline. Pour une raison encore inconnue, les cellules qui produisent l’insuline sont détruites par le système immunitaire. Ne fabriquant plus d’insuline, les personnes diabétiques de type 1 dépendent d’injections quotidiennes d’insuline pour vivre.
<strong>Le diabète de type 2</strong>
Le diabète de type 2 se manifeste plus tard dans la vie, généralement vers l’âge de 40 ans. La très grande majorité des personnes atteintes de diabète ont ce type de diabète, environ 90&nbsp;% des cas. Mais depuis quelques années, un phénomène inquiétant se manifeste&nbsp;: on remarque que ce diabète apparaît de plus en plus tôt et, chez certaines populations à risque, il peut apparaître dès l’enfance.
Chez certaines personnes, la production d’insuline est insuffisante. Chez d’autres, l’insuline sécrétée n’accomplit pas son travail adéquatement, entraînant l’augmentation du taux de sucre dans le sang.
<strong>Le diabète de grossesse</strong>
Le diabète de grossesse se manifeste pendant la grossesse, généralement vers la fin du 2e et au 3e trimestre. Il est aussi connu sous le nom de diabète gestationnel.
On retrouve un diabète gestationnel chez 3 à 20% des femmes enceintes. Dans 80&nbsp;% des cas, il disparaîtra 3 à 6 mois après l’accouchement. Il affecte à la fois le bébé et la mère. Chez l’enfant, il y a un risque qu’il soit plus gros que la normale. Chez la mère, la présence du diabète accroît les risques d’infections, augmente le niveau de fatigue et peut causer des complications lors de l’accouchement.
Les femmes ayant fait un diabète gestationnel sont plus à risque de développer le diabète plus tard.
"
Quels sont les facteurs de risques du diabète de type 2?,"Les causes du diabète de type 2 sont nombreuses et, dans bien des cas, c’est la combinaison de plusieurs facteurs qui déclenche l’apparition de la maladie. En voici des exemples&nbsp;:
-Le sexe : les hommes sont plus vulnérables que les femmes;
-L’âge : le risque augmente à mesure que l’on vieillit;
-Le surplus de poids;
-Le tour de taille élevé, soit la graisse accumulée autour de l’abdomen;
-Le niveau d’activité physique&nbsp;;
-Les habitudes alimentaires;
-L’hypertension artérielle;
-Des glycémies anormalement élevées dans le passé;
-Pour les femmes, avoir donné naissance à un bébé de plus de 4,1 kg (9 livres);
-L’hérédité;
-L’origine ethnique : autochtone, africaine, asiatique, latino-américaine, etc.
-Le niveau de scolarité.

"
Comment traite-t-on le diabète ?,"Il existe plusieurs approches de traitement pour le&nbsp;diabète, l’objectif à atteindre est un meilleur contrôle des glycémies.
Le traitement du&nbsp;diabète comprend&nbsp;:
-un plan d’alimentation personnalisé
-de l’activité physique
-la prise de médication antidiabétique ou d’insuline, si nécessaire
-une bonne gestion du stress

Dans bien des cas, le diabète de type 2 peut être contrôlé en modifiant les habitudes alimentaires et en faisant plus d’activité physique.
Quelque soit le type de diabète, l’enseignement est la base du traitement. Offert par une équipe de professionnels de la santé, la personne diabétique apprend ce qu’est la maladie, comment la contrôler, de quelle manière s’alimenter et comment intégrer l’activité physique de façon sécuritaire. Elle apprend également à faire des mesures quotidiennes des glycémies et à s’injecter d’insuline lorsqu’elle est prescrite.
"
Peut-on prévenir le diabète ?,"On peut prévenir le diabète de type 2&nbsp; ou en retarder l’apparition en modifiant ses habitudes de vie. 
"
Est-ce que le diabète se guérit ?,"Le diabète est une maladie chronique incurable. Par contre, il est possible de le contrôler.
"
